,Engagements,Followers at Posting,Date,Day,Month,Day,Time,Hour,Hour_bucket,Type,Description,unique_word_count,character_count,Tag_Number,Hashtag_Number,Hashtags,Tags
0,,36984682,5/22/2019,Wednesday,5,22,0:31,0,1,Photo,The @raptors even up the Eastern Conference Finals 2-2!,24,55,1,0,[],['@raptors']
1,,36984682,5/21/2019,Tuesday,5,21,23:20,23,8,Photo,The @raptors even the Eastern Conference Finals with the @bucks 2-2 on 120-102 home victory!,31,92,2,0,[],"['@raptors', '@bucks']"
2,,36984682,5/21/2019,Tuesday,5,21,21:18,21,8,Video,@sergeibaka keeps it alive for the @raptors! (??: @nbaontnt),23,60,3,0,[],"['@sergeibaka', '@raptors!', '@nbaontnt)']"
3,,36955156,5/21/2019,Tuesday,5,21,18:20,18,7,Video,"???? The SUPERHUMAN HANDS of Giannis & Kawhi ????
...
??: @bucks x @raptors G4
?: 8:30pm/et ??: @nbaontnt",43,105,3,0,[],"['@bucks', '@raptors', '@nbaontnt']"
4,,36955156,5/21/2019,Tuesday,5,21,15:04,15,6,Video,"?? the @raptors & @bucks in transition! #NBABreakdown
...
??: Eastern Conference Finals Game 4
?: 8:30pm/et ??: @nbaontnt",40,121,3,1,['#NBABreakdown'],"['@raptors', '@bucks', '@nbaontnt']"
5,,36955156,5/21/2019,Tuesday,5,21,2:09,2,1,Photo,The @warriors advance to the 2019 #NBAFinals presented by @youtube TV!,32,70,2,1,['#NBAFinals'],"['@warriors', '@youtube']"
6,,36955156,5/21/2019,Tuesday,5,21,1:30,1,1,Video,Big bro wins this one! #PhantomCam,19,34,0,1,['#PhantomCam'],[]
7,,36955156,5/20/2019,Monday,5,20,22:25,22,8,Video,@stephencurry30 pulls up from deep to end the half on ESPN!,25,59,1,0,[],['@stephencurry30']
8,,36955156,5/20/2019,Monday,5,20,22:09,22,8,Video,The @warriors move the ball to find Andrew Bogut for the @warriors slam on ESPN!,28,80,2,0,[],"['@warriors', '@warriors']"
9,,36928789,5/20/2019,Monday,5,20,15:26,15,6,Video,"?? @money23green mic'd up in Game 3 of the WCF! ??
...
??: @warriors x @trailblazers Game 4
?: 9:00pm/et ??: @nbaonespn",40,119,4,0,[],"['@money23green', '@warriors', '@trailblazers', '@nbaonespn']"
10,,36899744,5/18/2019,Saturday,5,18,23:26,23,8,Video,@qcook323 with the hesitation to the bucket for the @warriors on ESPN!,25,70,2,0,[],"['@qcook323', '@warriors']"
11,,36899744,5/18/2019,Saturday,5,18,22:26,22,8,Video,@meyersleonard11 gets it back for the triple off the @trailblazers ball movement on ESPN!,29,89,2,0,[],"['@meyersleonard11', '@trailblazers']"
12,,36872342,5/17/2019,Friday,5,17,23:08,23,8,Photo,The @bucks take 2-0 Eastern Conference Finals lead with 125-103 victory at home!,33,80,1,0,[],['@bucks']
13,,36846041,5/16/2019,Thursday,5,16,22:48,22,8,Video,The @warriors go on 13-0 run early in the 3rd! (??: ESPN),31,57,1,0,[],['@warriors']
14,,36846041,5/16/2019,Thursday,5,16,21:32,21,8,Video,@money23green's block sets up the @stephencurry30 layup on ESPN!,28,64,2,0,[],"[""@money23green's"", '@stephencurry30']"
15,,36784913,5/15/2019,Wednesday,5,15,20:00,20,7,Photo,"During the Eastern Conference Semifinals, Kawhi Leonard scored the 3rd-most total points in a series since 1977! #NBAPlayoffs",38,125,0,1,['#NBAPlayoffs'],[]
16,,36756045,5/14/2019,Tuesday,5,14,14:15,14,5,Video,Who had your fave ASSIST from the Eastern Conference Semis? #StateFarmAssists,27,77,0,1,['#StateFarmAssists'],[]
17,,36716811,5/12/2019,Sunday,5,12,22:14,22,8,Album,The moment it fell through! #TissotBuzzerBeater #ThisIsYourTime,22,63,0,2,"['#TissotBuzzerBeater', '#ThisIsYourTime']",[]
18,,36716811,5/12/2019,Sunday,5,12,22:11,22,8,Video,Poetry in motion... for the @raptors win! #TissotBuzzerBeater #ThisIsYourTime #PhantomCam,27,89,1,3,"['#TissotBuzzerBeater', '#ThisIsYourTime', '#PhantomCam']",['@raptors']
