,Engagements,Followers at Posting,Date,Day of Week,Day,Month,Time,Hour,Hour_bucket,Type,Description,unique_word_count,character_count,Tag_Number,Hashtag_Number,Tags,Hashtags
0,502093,36984682,5/21/2019,2,21,5,23:30,23,8,Video,The @raptors bench trio of @sergeibaka @normanpowell4 & @fredvanvleet combine for 48 in Game 4!,24,95,4,0,"['@raptors', '@sergeibaka', '@normanpowell4', '@fredvanvleet']",[]
1,603380,36984682,5/21/2019,2,21,5,22:53,22,8,Video,@kyle_lowry7 pulls from deep for the @raptors in the 4th on TNT!,31,64,2,0,"['@kyle_lowry7', '@raptors']",[]
2,603380,36984682,5/21/2019,2,21,5,22:19,22,8,Video,@k_mid22 with some english on the @bucks dime!,23,46,2,0,"['@k_mid22', '@bucks']",[]
3,725100,36984682,5/21/2019,2,21,5,22:02,22,8,Video,Kawhi punches it home with the left on TNT!,43,43,0,0,[],[]
4,661446,36984682,5/21/2019,2,21,5,20:47,20,7,Video,@giannis_an34 goes baseline early to rock the rim on TNT!,40,57,1,0,['@giannis_an34'],[]
5,322444,36955156,5/21/2019,2,21,5,14:02,14,5,Photo,"Congrats to the 2018-19 NBA All-Rookie First Team, led by unanimous selections @lukadoncic & @traeyoung!",32,104,2,0,"['@lukadoncic', '@traeyoung!']",[]
6,722540,36955156,5/21/2019,2,21,5,12:30,12,5,Video,The @warriors locked in for four games to advance to the #NBAFinals presented by YouTube TV! #GatoradeZero,19,106,1,2,['@warriors'],"['#NBAFinals', '#GatoradeZero']"
7,339265,36955156,5/21/2019,2,21,5,8:59,8,3,Photo,Will the @bucks take a commanding 3-1 lead... or will the @raptors even the ECF up 2-2??,25,88,2,0,"['@bucks', '@raptors']",[]
8,443330,36955156,5/21/2019,2,21,5,0:48,0,1,Photo,TAP to SHOP the @warriors Western Conference Champions gear from @nbastore!,28,75,2,0,"['@warriors', '@nbastore!']",[]
9,652193,36955156,5/21/2019,2,21,5,0:38,0,1,Video,Hey @stephencurry30... that was the first time teammates had triple-doubles in the same #NBAPlayoffs game in @nbahistory!,40,121,2,1,"['@stephencurry30...', '@nbahistory!']",['#NBAPlayoffs']
10,652193,36955156,5/21/2019,2,21,5,0:31,0,1,Video,@stephencurry30 (37/13/11) & @money23green (18/14/11) become the first teammates in #NBAPlayoffs history to record a triple-double in the same game!,25,148,2,1,"['@stephencurry30', '@money23green']",['#NBAPlayoffs']
11,443330,36955156,5/21/2019,2,21,5,0:24,0,1,Photo,The @warriors defeat @trailblazers 119-117 to advance to their 5th consecutive #NBAFinals presented by YouTube TV!,29,114,2,1,"['@warriors', '@trailblazers']",['#NBAFinals']
12,713427,36955156,5/21/2019,2,21,5,0:21,0,1,Video,@money23green (18/14/11) reacts to a 5th straight #NBAFinals appearance with the @warriors!,33,91,2,1,"['@money23green', '@warriors!']",['#NBAFinals']
13,470233,36955156,5/20/2019,1,20,5,23:54,23,8,Photo,The @warriors win the West & advance to their 5th consecutive #NBAFinals presented by YouTube TV!,31,97,1,1,['@warriors'],['#NBAFinals']
14,675091,36955156,5/20/2019,1,20,5,23:45,23,8,Video,@money23green triple extends the @warriors lead late in OT on ESPN! #NBAPlayoffs,28,80,2,1,"['@money23green', '@warriors']",['#NBAPlayoffs']
15,443543,36955156,5/20/2019,1,20,5,23:33,23,8,Photo,@stephencurry30 & @money23green become the first teammates in @nbahistory to record triple-doubles in the same #NBAPlayoffs game!,38,129,3,1,"['@stephencurry30', '@money23green', '@nbahistory']",['#NBAPlayoffs']
16,718485,36955156,5/20/2019,1,20,5,23:29,23,8,Video,?? @meyersleonard11! ?? (??: ESPN),27,34,1,0,['@meyersleonard11!'],[]
17,427347,36955156,5/20/2019,1,20,5,23:27,23,8,Photo,@money23green notches the triple-double for the @warriors with 14/12/11 in the 4th! #TripleDoubleAlert,22,102,2,1,"['@money23green', '@warriors']",['#TripleDoubleAlert']
18,696779,36955156,5/20/2019,1,20,5,23:24,23,8,Video,@stephencurry30 dime & hesi in the 4th on ESPN! #NBAPlayoffs,27,60,1,1,['@stephencurry30'],['#NBAPlayoffs']
19,569271,36955156,5/20/2019,1,20,5,23:22,23,8,Photo,@stephencurry30 notches the triple-double for the @warriors with 37/10/10 in the 4th! #TripleDoubleAlert,19,104,2,1,"['@stephencurry30', '@warriors']",['#TripleDoubleAlert']
20,603391,36955156,5/20/2019,1,20,5,22:40,22,8,Video,@damianlillard uses his dribble into the @trailblazers triple!,22,62,2,0,"['@damianlillard', '@trailblazers']",[]
21,603391,36955156,5/20/2019,1,20,5,22:33,22,8,Video,@meyersleonard11 puts up 25 in the first half for the @trailblazers on ESPN!,24,76,2,0,"['@meyersleonard11', '@trailblazers']",[]
22,711819,36955156,5/20/2019,1,20,5,21:26,21,8,Video,@stephencurry30 tosses it up early on ESPN!,27,43,1,0,['@stephencurry30'],[]
23,404760,36955156,5/20/2019,1,20,5,20:31,20,7,Photo,"@money23green arrives for Game 4 of the Western Conference Finals, preparing for action with his #PowerbeatsPro ??",33,114,1,1,['@money23green'],['#PowerbeatsPro']
24,534517,36928789,5/20/2019,1,20,5,17:54,17,6,Video,In @budweiserusa #LegendaryMoments history.. we showcase Brandon Roy's 18-point 4th qtr to overcome @trailblazers 23-point deficit in 2011! Who do you think will take Game 4... the @trailblazers or @warriors?,30,208,4,1,"['@budweiserusa', '@trailblazers', '@trailblazers', '@warriors?']",['#LegendaryMoments']
